mistreat	0000121
encase	0000094 marked
tacit	0000865
flabby	0000314 marked
gloss	0001311
globetrotter	0000035 marked
multiplicand	0000000
rot	0001571
watch out!	0000000
hapless	0000792 marked
row	0015920
dump	0004521
self-satisfaction	0000000
undermine	0003655
guilt	0008073
blossom	0001601
crib	0001698
be swamped	0000681
all the while	0276747 marked
unnecessary	0004431
top of lungs	0005013
stumble on	0001543
swirl	0001453
reliant	0000728
starring	0003396
reinvigorate	0000000
scuffed	0000472
collapse	0009977 marked
dull	0005164
thought	0189740
concession	0001899
accurate	0012378 marked
reclusion	0000000 marked
paraphrase	0000693
dichotomy	0001117
copiously	0000106 marked
synchronous	0000366
prosecution	0008417
swelter	0000071 marked
predisposition	0000598
spring to mind	0040834
to move up in the world	0086571
nativity	0000383
mallard	0000352 marked
antipode	0000000
cleavage	0000688
broil	0000633
cropland	0000464
dead-end	0000000
poverty	0015817 marked
issuing bank	0002070
dwindle	0000345
lightning	0006138
stoppage time	0000254
tummy	0000764 marked
flesh and blood	0010220
devoted	0010486
margin	0005627
mitigation	0001538 marked
apt	0002848
dung	0000785 marked
nail	0004689
perplexing	0000576
shabby	0001273 marked
refine	0001216 marked
inattentive	0000273 marked
testament	0001672
mount	0005251
coexist	0000824 marked
pathetic	0002356
get on with	0530141 marked
hodgepodge	0000000
mound	0003384
on fleek	0000000
unapproachable	0000130
all in all	1119400 marked
voluptuous	0000498
mutual understanding	0011892
accessor	0000000
stay with problems	0070682
trolley	0000920
pudgy	0000525
uncharted	0000578
nativist	0000000
fit the mold	0003815 marked
in order to	0094124
diversity	0014487
arc	0004013
patience	0006829
captive	0002241
visions	0003714
broader	0009053
broaden	0001521
stitch	0000878
esteem	0001245 marked
thoughtful	0004019
bowel	0000942
unstated	0000232 marked
empower	0001411
dupe	0000179
suppress	0002183
mudflap	0000000 marked
calm	0013760
scrawl	0000239
ownership	0008476
calf	0002372
tumor	0004368 marked
ash	0004574
good-looking	0000000
rapture	0000628
be in a position	0063756
consensual	0000970
guesswork	0000344 marked
whistle blower	0000419
set in motion	0016953
serene	0001506
rub	0004186
dependent clause	0002681
stuffing	0002258
through	0392727
uninhabitable	0000222
engagement	0007414 marked
strength	0026243
wetsuit	0000000 marked
rug	0003516
willpower	0000434 marked
reportedly	0006181
disregard	0001732
sixfold	0000000
phrasal verbs	0000000
carry through	0029386
enact	0001592
scrutinize	0000669 marked
unassisted	0000169 marked
rut	0001054
In-laws	0000000
ring finger	0016659 marked
spacecraft	0003358
affiliation	0002342 marked
as soon as	0072959
to sum up briefly	0006626
chest of drawers	0002283
defiance	0001948 marked
mineral colour	0000553
upkeep	0000459
camp out	0029722 marked
ball gown	0003582
intertwine	0000123
footage	0004346 marked
mole	0001539 marked
mold	0003815
bold	0006583
ground-breaking	0000000
spoofing	0000055 marked
new lease on life	0003574
communicable	0000262
overlap	0002232
lopsided	0000859 marked
instability	0002915
buxom	0000174
crow	0003751
cane	0004183 marked
bolt	0003264
mourn	0000975
abatement	0000632
benefits	0035790
crunch	0002798
sniffer	0000095
boon	0001177
novelty	0002145
mood	0013360
mercenary	0000541
abolish	0000990
absence	0013644
shortfall	0001048
amorousness	0000006
ally	0004397
defend	0011162
to be in limelight	0000865 marked
up close	0094829
rotten apple	0002146
inapplicable	0000107
boot	0005877
analogous	0001600 marked
simper	0000026
itch	0000992
abbreviate	0000039
anticlimax	0000075
lavish	0001959
varnish	0000738
saturated	0005010
monk	0003081
bond	0014558
awe	0002912
wire for	0011595
discourse	0009503
target	0024071
list off	0050326
obstruct	0000519
mouth	0038560
oust	0000592
assuming	0006550
duty	0014463
preach to the choir	0001562
cape	0006407
apart from that	0024126 marked
trump	0002067
commotion	0001220
stratification	0000493
rolled around	0013087
loosen	0001820
find out	0182027
negotiable	0000378
cart	0005502
cast	0020733
hijack	0000355
anxious	0007358
propulsively	0000000
siphon	0000313
slice	0006160 marked
auditory	0001609 marked
larva	0000290
serendipity	0000253 marked
broad	0019585
golden ratio	0008304
rigmarole	0000057
morsel	0000351
truly	0021585
elevate	0001067
transmitter	0000998
slick	0003561
oppressive	0001633
clinch	0000611
humiliate	0000488
superintendent	0003954
mope	0000102
cleave	0000146 marked
barreling	0000000
twatwaffle	0000000 marked
limply	0000272
carry over	0029386
trunk	0006687
matches	0005112
finesse	0000961 marked
longing	0002823
mandative	0000000 marked
feral	0000807
moot	0000774 marked
stretch to say	0012637
desiccate	0000000
slide	0010077
moor	0000207
sticky	0003186
buttocks	0001259
excessive	0005877
outsider	0002680 marked
assault	0010221
damage	0024595
hold down	0064805
Epiphany	0000936
pattern	0021711
heighten	0000665
disservice	0000710
call back	0137651 marked
labour	0001556
uninitiated	0000319 marked
ivory tower	0003353 marked
scrape	0002225
kiln	0000560
scold	0000364 marked
glorious	0003524 marked
seldom	0005166
profit centre	0001093
key plank	0001543
aptitude	0000928 marked
counterculture	0000000
cockpit	0003178
watercolour	0000010
reliance	0003034
dauntless	0000102
cosign	0000000
deathbed	0000463 marked
gnaw	0000196
I contacted your representative in	0004216
conductor	0003087
inaccurate	0001994
bore	0004568 marked
sallow	0000281
self-impose	0000000
reprieve	0000534
whooping cough	0000542
disorder	0008825
infestation	0000369 marked
spurt	0000560 marked
aggravate	0000382
self-perpetuating	0000000
sentience	0000220
reluctantly	0002846
broadly	0003654
carve out	0001879
momentarily	0002183
detritus	0000454
spurn	0000114
colossal	0000964
can’t stand	0000000 marked
plaque	0002075
tyranny	0001657
voluminous	0000630
heart of gold	0034233
sealant	0000142 marked
navy	0006336
given that	0102524 marked
conceptually	0000796
scavenger	0000344 marked
alleviate	0001821
restraining order	0001283 marked
prudently	0000262 marked
meat grinder	0000803
condescending	0000659
percentage	0018672
scoff	0000332 marked
vine	0002013
factual	0001967
negotiate	0006664
speculation	0005381
admissibility	0000134
bedspread	0000495
Gainfully employed	0000000
bedsore	0000000
pronunciation	0000604
tumult	0000468
shatter	0000852
disapprove a proposal	0000692
hyped	0000000
moss	0004194
delimit	0000073 marked
affection	0004320
diversion	0001984 marked
forgiving	0001552 marked
unscrupulous	0000548
rudely	0000421 marked
morbid	0000645 marked
courteous	0000695
overlie	0000015
inseparable	0001013
ascertain	0001187
cavalier	0000409
denigrate	0000320
i was so pleased to hear from you again.	0000000
inspiration	0006848
forbid	0001516
proctor	0001068 marked
tanning	0000607
tortoise	0000665
quite a feat	0002060
stuffy	0000697 marked
sac	0000428
reject	0004641
adult education	0021917 marked
patient	0032622 marked
couldn't care less	0000000
in the foreground	0001935
sag	0000567
phony	0002062 marked
consonants	0000339
inseparably	0000078
profit	0012590
accompanying	0004481
depiction	0001580
noose	0000657 marked
walk the plank	0001543
what's more	0000000
leadership theories	0009826
assignment	0006214
deviate	0000412
yawn	0000643
saw	0115938 marked
smooth operation	0015147
for fear (that/of)	0000000 marked
jollity	0000027
increase	0051736
feudal	0000590
spread	0028873
delirious	0000479
favor	0020906
latter	0012999
bidet	0000047
vanguard	0000745
buggy	0000767
wear down	0024860
there, there	0000000
toss and turn	0006031
gloat	0000183
bae	0000000
facile	0000390 marked
alienate	0000721
mussel	0000288
luncheon	0001509 marked
disheartening	0000394 marked
ban	0010102
dissenting	0001047 marked
hubris	0000664
bar	0032596 marked marked
suffer	0011129
counter-intuitive	0000000
pleated skirt	0000497
partake	0000538
squint	0000637
draft	0014079
portend	0000214
submersion	0000090
resonate	0000984 marked
on-die	0000000
easygoing	0000646
leprosy	0000365
posit	0000474
mishmash	0000170
adjourn	0000167
proliferate	0000440
nonchalantly	0000394 marked
phoniness	0000000 marked
by the same token	0002181 marked
hazardous	0005004
midfielder	0000302
personal	0071303 marked
downright	0001711
artery	0002047
unsustainable	0000629
haggle	0000209 marked
street fair	0028183 marked
underestimate	0001471
solvency	0000352
day-to-day	0000000
globe	0005885
delay	0010455
onslaught	0001191
go to bat	0006332
sonorous	0000174
icky	0000000
razzle dazzle	0000000
enquiry	0000178
victorious	0001200
heyday	0001062
dean	0015928
sponge	0001450
writer’s block	0000000
deal	0079460
miscellaneous	0000654
bcc	0000000 marked
abuse	0024894
You can imagine how unhappy I was to discover	0005345
hit off	0068891 marked
affect	0020633
scarcity	0001633
vantage	0001797
deaf	0003045
slyly	0000411 marked
buildup	0000000
onerous	0000666
drain	0007073
flip the script	0004237 marked
unchaste	0000026 marked
containment	0001786
smoothly	0003518
tenor	0001511
inward	0002178
responsibility	0030333
wheat	0006037
embodiment	0001259
omission	0000974
compared	0032070
completion	0005188
effortless	0000720
litter	0002377
stepson	0000363
sew	0000850
prosecutorial	0000000
indigent	0000649
put out	0196897 marked
admiration	0002797
dadgum	0000000 marked
pique	0000318
petition	0003093
rivet	0000158 marked
vicinity	0001658
number cruncher	0000000
earnest	0002895
courting	0000991
kite	0001358
far-flung	0000000
panties	0001145
circulatory	0000362
beg	0003059
stroll	0002199
deride	0000157
bet	0014867
under your skin	0040756
chipmunk	0000157 marked
advocacy	0005257
discharge	0004158
surgical	0004871
at ease	0011190 marked
laborer	0000728
splendidly	0000301
digit	0000547
smoothie	0000292
break a leg	0019582
wavering	0000760
bff	0000000
center around	0073490
handrail	0000149
typically	0019188 marked
instructive	0001193
max out	0013798 marked
suspicious	0005648
fucktard	0000000
complain	0006337
intagible	0000000 marked
get along with	0122730
enchilada	0000000
success margin	0005627
break loose	0014185 marked
quaver	0000097
high achiever	0000136 marked
crepuscular	0000062
in advance	0016074
drop out	0026119
debt	0018066
fluff	0000721 marked
deer	0012259 marked
(-)gauge	0000000 marked
humane	0002044
confined	0004077 marked
overblown	0000570 marked
shy	0006726
forgive	0005945
deem	0000673
smart aleck	0000000
edge down	0034196
regulatory	0007643
capable	0014543
deed	0001708
repress	0000410
AFT	0001298
jersey	0017450
supervision	0004450
await	0001846
sin	0007298
sip	0003211
ballot	0005580
Agency	0037475
chalk and cheese	0001825
bound	0010947 marked
falter	0000523
firsthand	0002369 marked
obviously	0032779
disfranchised	0000000 marked
stroke	0008560 marked
endearing	0000641 marked
prerogative	0000606
elusive	0002892
walrus	0000257 marked
implicate	0000474
representational	0000830
stockyard	0000041
bib	0000313
extenuate	0000008
avoid	0031907
bid	0008437
stunningly	0000483
comprehensive	0012232
astonish	0000126 marked
flare up	0001447
come to find out	0182027 marked
thankful	0002145
advanced	0017062
bin	0007733
cuppa	0000046
peers	0010066
invoke	0001335
ectopic	0000000
morgue,	0000000
clipboard	0000850
slaughter	0002589 marked
cautionary	0000857
striking	0010050
recognise	0000155
imagery	0005134
sniveling	0000000 marked
unsanitary	0000226
clapper	0000000
beside	0020797
calumniate	0000000
toenail	0000160
reduce	0029507
inquire	0001198
deft	0000708
tiptoe	0000462
casualness	0000156
hashish	0000179
surface	0035923
expunge	0000101
fretful	0000145
in favor	0020906
foresight	0000782 marked
bough	0000172
intellectual property	0014892
intercept	0001142 marked
exclusively	0006083
defy	0001390
reconsider	0001557 marked
compromised	0002375 marked
feel drawn	0018492 marked
parrot	0001158 marked
take a shot	0053555 marked
template	0001277
so much as	0388060
sly	0001695 marked
prophet	0001838
abhorrent	0000254
nerdy	0000270 marked
sequencer	0000000 marked
handicapped	0002137
inquiry	0007472
clearance	0001606
angle	0008178
unbearable	0001472
congregate	0000612
out of style	0034304
distiller	0000063 marked
amidst	0001589
due to	0036236
romcom	0000000
change	0125953
cupboard	0001294
likewise	0006105
whereabouts	0001354 marked
punishment	0009622
corporate	0024332 marked
be grant	0019279
all-important	0000000
shuffle	0001281
infatuate	0000000
general statement	0029428
keypal	0000000
constant	0015565
congruent	0000646
sob	0000930
intermittent	0001081 marked
mislead	0000573
traction	0001630
downgrade	0000234
mansplaining	0000000 marked
anger	0017636
communal	0003526
insatiable	0000648
deli	0001340
gullibility	0000089
perilous	0000987
barefoot	0001804
squirt	0000544
sow	0001038 marked
encephalon	0000000
novice	0001838
microgravity	0000000
inanimate	0000596
discretion	0002579
concious	0000000
beget	0000153
longstanding	0001320
cup runneth over	0000000
synapse	0000114
pros and cons	0001292
follow suit	0024563 marked
permanently	0003984
mammoth	0001767
relevant	0012811
bob	0000000
deduction	0001526 marked
juxta	0000000
littered	0001572
rebelliousness	0000105
long-awaited	0000000
hands on	0091651
pointe shoes	0000000
polka dot	0000515
tense	0004750
infinitely	0001301
sparing	0000499
decorous	0000148
medicaid	0000000
mental	0025463
wobble	0000469
hostility	0003569
bow	0007869
corduroy	0000678
switch	0011070
bell pepper	0017774 marked
chaperone	0000206
tuning fork	0001532
auxiliary	0000983
over-ride	0000000
schtick (shtick)	0000000 marked
singularity	0000547
chase away	0006340
stateful	0000000
highly	0030813 marked
by-product	0000000
uprise	0000000
unfortunate	0005023
miscarriage	0000619 marked
chick flick	0001727
wheel	0012347 marked
squish	0000172
anti-depressant	0000000
frightful	0000329
restive	0000306
apricot	0000870
dormant	0001181
go low	0068227 marked
deferential	0000355
quarrel	0001158
naivety	0000028
issuance	0000383
unsteadily	0000339
essentially	0015743 marked
stance	0005632
fanciness	0000006
wobbly	0000744
mould	0000284
stoop	0001238
inviolable	0000000
coherent	0002972
clandestine	0001119
county	0024897
ponder	0001417
put off	0196897 marked
animate	0000531
gallow	0000000
curvature	0000419
bra	0002054
bouyancy	0000000
moral imperative	0003040
guild	0000869 marked
trendy	0001601
reputable	0000826
pinpoint	0001715
head start	0098030
extremity	0000417
formulaic utterance	0000000
hiccups	0000272
deny	0008648
retail chain	0009632
trench	0002066
pleasure	0017706
miserable	0003988
dent	0001675 marked
interpreter	0004036
exculpate	0000027
go back on	0392126
table of contents	0005682 marked
glory	0006292
wholesale depot	0001238
detour	0000821
gurgle	0000207 marked
labor union	0026252
space out	0072913
smuggle	0000458
hustle	0001172
soft spot	0026742 marked
dosage	0000908
enhancer	0000154
advisable	0000434 marked
dormitory	0000927
jogging	0001576 marked
cooperate	0004056
overcome	0009687
delve	0000561
The aim of this assignment is to produce characteristics	0006214
pile up	0008685
stay over	0070682
obliterate	0000353 marked
derp	0000000
come by	0284722 marked
current	0068351
feasibility study	0001217
obligate	0000112
